"X","Date","Team","Team.Location","Team.Score","Opponent","Opponent.Score","Team.Result"
1606,"11/17/15","Missouri-Kansas City","Away",89,"Nebraska-Omaha",95,"Loss"
1607,"11/17/15","Nebraska-Omaha","Home",95,"Missouri-Kansas City",89,"Win"
1608,"11/17/15","Murray State","Home",76,"Middle Tennessee",65,"Win"
1609,"11/17/15","Middle Tennessee","Away",65,"Murray State",76,"Loss"
1610,"11/17/15","Northern Iowa","Home",70,"Stephen F. Austin",60,"Win"
1611,"11/17/15","Illinois-Chicago","Away",57,"Western Illinois",84,"Loss"
1612,"11/17/15","Western Illinois","Home",84,"Illinois-Chicago",57,"Win"
1613,"11/17/15","Nebraska","Away",63,"Villanova",87,"Loss"
1614,"11/17/15","Villanova","Home",87,"Nebraska",63,"Win"
1615,"11/17/15","San Diego","Away",62,"Western Michigan",74,"Loss"
1616,"11/17/15","Wisconsin","Home",78,"North Dakota",64,"Win"
1617,"11/17/15","Missouri","Away",66,"Xavier",78,"Loss"
1618,"11/17/15","Xavier","Home",78,"Missouri",66,"Win"
1619,"11/17/15","North Dakota","Away",64,"Wisconsin",78,"Loss"
1620,"11/17/15","Western Michigan","Home",74,"San Diego",62,"Win"
1621,"11/17/15","Jackson State","Away",78,"Southern Mississippi",60,"Win"
1622,"11/17/15","Rhode Island","Home",55,"Valparaiso",58,"Loss"
1623,"11/17/15","Valparaiso","Away",58,"Rhode Island",55,"Win"
1624,"11/17/15","Southern Mississippi","Home",60,"Jackson State",78,"Loss"
1625,"11/17/15","Tulsa","Home",77,"Wichita State",67,"Win"
1626,"11/17/15","Wichita State","Away",67,"Tulsa",77,"Loss"
1627,"11/17/15","Syracuse","Home",79,"St. Bonaventure",66,"Win"
1628,"11/17/15","St. Bonaventure","Away",66,"Syracuse",79,"Loss"
1629,"11/17/15","Texas-San Antonio","Away",78,"Creighton",103,"Loss"
1630,"11/17/15","Alabama","Away",48,"Dayton",80,"Loss"
1631,"11/17/15","Dayton","Home",80,"Alabama",48,"Win"
1632,"11/17/15","Creighton","Home",103,"Texas-San Antonio",78,"Win"
1633,"11/17/15","Connecticut","Home",85,"New Hampshire",66,"Win"
1634,"11/17/15","New Hampshire","Away",66,"Connecticut",85,"Loss"
1635,"11/17/15","Delaware State","Home",54,"Pennsylvania",60,"Loss"
1636,"11/17/15","Green Bay","Away",90,"East Tennessee State",103,"Loss"
1637,"11/17/15","East Tennessee State","Home",103,"Green Bay",90,"Win"
1638,"11/17/15","Pennsylvania","Away",60,"Delaware State",54,"Win"
1639,"11/17/15","Appalachian State","Home",70,"Furman",79,"Loss"
1640,"11/17/15","Furman","Away",79,"Appalachian State",70,"Win"
1641,"11/17/15","Auburn","Home",84,"Colorado",91,"Loss"
1642,"11/17/15","Hampton","Away",61,"American",48,"Win"
1643,"11/17/15","American","Home",48,"Hampton",61,"Loss"
1644,"11/17/15","Colorado","Away",91,"Auburn",84,"Win"
1645,"11/17/15","Citadel","Home",94,"Stetson",93,"Win"
1646,"11/17/15","Stetson","Away",93,"Citadel",94,"Loss"
1647,"11/17/15","Cal State Bakersfield","Home",68,"Idaho",45,"Win"
1648,"11/17/15","Idaho","Away",45,"Cal State Bakersfield",68,"Loss"
1649,"11/17/15","Louisville","Home",87,"Hartford",52,"Win"
1650,"11/17/15","Dartmouth","Away",63,"Marist",73,"Loss"
1651,"11/17/15","Marist","Home",73,"Dartmouth",63,"Win"
1652,"11/17/15","Hartford","Away",52,"Louisville",87,"Loss"
1653,"11/17/15","Louisiana Tech","Home",80,"Texas-Arlington",68,"Win"
1654,"11/17/15","Texas-Arlington","Away",68,"Louisiana Tech",80,"Loss"
1655,"11/17/15","Georgetown","Away",71,"Maryland",75,"Loss"
1656,"11/17/15","Oklahoma","Away",84,"Memphis",78,"Win"
1657,"11/17/15","Memphis","Home",78,"Oklahoma",84,"Loss"
1658,"11/17/15","Maryland","Home",75,"Georgetown",71,"Win"
1659,"11/17/15","Jacksonville","Away",79,"Florida State",98,"Loss"
1660,"11/17/15","Florida State","Home",98,"Jacksonville",79,"Win"
1661,"11/17/15","Liberty","Home",59,"William & Mary",70,"Loss"
1662,"11/17/15","William & Mary","Away",70,"Liberty",59,"Win"
1663,"11/17/15","Rider","Away",60,"La Salle",73,"Loss"
1664,"11/17/15","Harvard","Home",63,"Massachusetts",69,"Loss"
1665,"11/17/15","Massachusetts","Away",69,"Harvard",63,"Win"
1666,"11/17/15","La Salle","Home",73,"Rider",60,"Win"
1667,"11/18/15","Eastern Michigan","Away",81,"Oakland",91,"Loss"
1668,"11/18/15","Oakland","Home",91,"Eastern Michigan",81,"Win"
1669,"11/18/15","Morgan State","Away",48,"Old Dominion",79,"Loss"
1670,"11/18/15","Northwestern","Home",79,"Fairfield",72,"Win"
1671,"11/18/15","Fairfield","Away",72,"Northwestern",79,"Loss"
1672,"11/18/15","Providence","Home",60,"Illinois",59,"Win"
1673,"11/18/15","Incarnate Word","Away",61,"Purdue",96,"Loss"
1674,"11/18/15","Purdue","Home",96,"Incarnate Word",61,"Win"
1675,"11/18/15","Illinois","Away",59,"Providence",60,"Loss"
1676,"11/18/15","Old Dominion","Home",79,"Morgan State",48,"Win"
1677,"11/18/15","North Carolina","Home",78,"Wofford",58,"Win"
1678,"11/18/15","Wofford","Away",58,"North Carolina",78,"Loss"
1679,"11/18/15","Niagara","Home",75,"Brown",66,"Win"
1680,"11/18/15","New Mexico State","Home",76,"Tennessee Tech",63,"Win"
1681,"11/18/15","Tennessee Tech","Away",63,"New Mexico State",76,"Loss"
1682,"11/18/15","Brown","Away",66,"Niagara",75,"Loss"
1683,"11/18/15","North Carolina State","Home",79,"IUPUI",56,"Win"
1684,"11/18/15","IUPUI","Away",56,"North Carolina State",79,"Loss"
1685,"11/18/15","Quinnipiac","Away",70,"Vermont",83,"Loss"
1686,"11/18/15","Saint Louis","Away",70,"Southern Illinois-Edwardsville",60,"Win"
1687,"11/18/15","Southern Illinois-Edwardsville","Home",60,"Saint Louis",70,"Loss"
1688,"11/18/15","Wake Forest","Home",82,"Richmond",91,"Loss"
1689,"11/18/15","Toledo","Away",100,"Youngstown State",78,"Win"
1690,"11/18/15","Youngstown State","Home",78,"Toledo",100,"Loss"
1691,"11/18/15","Richmond","Away",91,"Wake Forest",82,"Win"
1692,"11/18/15","Vermont","Home",83,"Quinnipiac",70,"Win"
1693,"11/18/15","Jacksonville State","Away",62,"Virginia Tech",71,"Loss"
1694,"11/18/15","Virginia Tech","Home",71,"Jacksonville State",62,"Win"
1695,"11/18/15","Buffalo","Away",67,"Saint Joseph's",89,"Loss"
1696,"11/18/15","Saint Joseph's","Home",89,"Buffalo",67,"Win"
1697,"11/18/15","Robert Morris","Home",76,"Bucknell",81,"Loss"
1698,"11/18/15","Bucknell","Away",81,"Robert Morris",76,"Win"
1699,"11/18/15","Kent State","Away",69,"Southern Illinois",72,"Loss"
1700,"11/18/15","Southern Illinois","Home",72,"Kent State",69,"Win"
1701,"11/18/15","Arkansas State","Away",75,"Savannah State",76,"Loss"
1702,"11/18/15","Savannah State","Home",76,"Arkansas State",75,"Win"
1703,"11/18/15","UC-Irvine","Away",61,"Central Florida",60,"Win"
1704,"11/18/15","Central Florida","Home",60,"UC-Irvine",61,"Loss"
1705,"11/18/15","Austin Peay","Home",77,"IPFW",80,"Loss"
1706,"11/18/15","Arkansas","Home",80,"Akron",88,"Loss"
1707,"11/18/15","Arizona State","Home",91,"Kennesaw State",53,"Win"
1708,"11/18/15","Kennesaw State","Away",53,"Arizona State",91,"Loss"
1709,"11/18/15","Akron","Away",88,"Arkansas",80,"Win"
1710,"11/18/15","Cincinnati","Away",83,"Bowling Green State",50,"Win"
1711,"11/18/15","Bowling Green State","Home",50,"Cincinnati",83,"Loss"
1712,"11/18/15","IPFW","Away",80,"Austin Peay",77,"Win"
1713,"11/18/15","Belmont","Home",90,"Western Kentucky",85,"Win"
1714,"11/18/15","Western Kentucky","Away",85,"Belmont",90,"Loss"
1715,"11/18/15","Houston","Home",110,"Prairie View",69,"Win"
1716,"11/18/15","Prairie View","Away",69,"Houston",110,"Loss"
1717,"11/18/15","Loyola (MD)","Away",76,"Maryland-Baltimore County",57,"Win"
1718,"11/18/15","Northern Arizona","Away",52,"Gonzaga",91,"Loss"
1719,"11/18/15","Gonzaga","Home",91,"Northern Arizona",52,"Win"
1720,"11/18/15","Southern Utah","Away",64,"Nevada-Las Vegas",84,"Loss"
1721,"11/18/15","Loyola (IL)","Away",51,"New Mexico",75,"Loss"
1722,"11/18/15","New Mexico","Home",75,"Loyola (IL)",51,"Win"
1723,"11/18/15","Nevada-Las Vegas","Home",84,"Southern Utah",64,"Win"
1724,"11/18/15","Maryland-Baltimore County","Home",57,"Loyola (MD)",76,"Loss"
1725,"11/18/15","Massachusetts-Lowell","Home",87,"Sacred Heart",84,"Win"
1726,"11/18/15","Sacred Heart","Away",84,"Massachusetts-Lowell",87,"Loss"
1727,"11/18/15","Denver","Home",75,"Utah Valley",62,"Win"
1728,"11/18/15","Utah Valley","Away",62,"Denver",75,"Loss"
1729,"11/18/15","Drexel","Home",66,"High Point",75,"Loss"
1730,"11/18/15","Cornell","Home",76,"Binghamton",59,"Win"
1731,"11/18/15","Binghamton","Away",59,"Cornell",76,"Loss"
1732,"11/18/15","Army","Away",96,"Fairleigh Dickinson",85,"Win"
1733,"11/18/15","Fairleigh Dickinson","Home",85,"Army",96,"Loss"
1734,"11/18/15","High Point","Away",75,"Drexel",66,"Win"
1735,"11/18/15","Eastern Washington","Home",76,"Seattle",70,"Win"
1736,"11/18/15","Seattle","Away",70,"Eastern Washington",76,"Loss"
1737,"11/19/15","Navy","Away",67,"South Carolina Upstate",55,"Win"
1738,"11/19/15","Saint Peter's","Home",66,"Hartford",67,"Loss"
1739,"11/19/15","Oregon State","Away",77,"Rice",69,"Win"
1740,"11/19/15","Rice","Home",69,"Oregon State",77,"Loss"
1741,"11/19/15","Hartford","Away",67,"Saint Peter's",66,"Win"
1742,"11/19/15","Tulane","Away",82,"Southern",90,"Loss"
1743,"11/19/15","Rutgers","Away",59,"St. John's (NY)",61,"Loss"
1744,"11/19/15","St. John's (NY)","Home",61,"Rutgers",59,"Win"
1745,"11/19/15","Southern","Home",90,"Tulane",82,"Win"
1746,"11/19/15","South Carolina Upstate","Home",55,"Navy",67,"Loss"
1747,"11/19/15","George Washington","Away",73,"South Florida",67,"Win"
1748,"11/19/15","South Florida","Home",67,"George Washington",73,"Loss"
1749,"11/19/15","Delaware State","Away",60,"Nebraska",75,"Loss"
1750,"11/19/15","Nebraska","Home",75,"Delaware State",60,"Win"
1751,"11/19/15","NJIT","Home",90,"Boston University",76,"Win"
1752,"11/19/15","Louisiana-Monroe","Away",80,"Northwestern State",64,"Win"
1753,"11/19/15","Northwestern State","Home",64,"Louisiana-Monroe",80,"Loss"
1754,"11/19/15","Boston University","Away",76,"NJIT",90,"Loss"
1755,"11/19/15","Stony Brook","Away",72,"Vanderbilt",79,"Loss"
1756,"11/19/15","Vanderbilt","Home",79,"Stony Brook",72,"Win"
1757,"11/19/15","Mount St. Mary's","Away",67,"Washington",100,"Loss"
1758,"11/19/15","Pepperdine","Away",67,"UCLA",81,"Loss"
1759,"11/19/15","UCLA","Home",81,"Pepperdine",67,"Win"
1760,"11/19/15","Washington","Home",100,"Mount St. Mary's",67,"Win"
1761,"11/19/15","Texas A&M","Home",95,"Texas A&M-Corpus Christi",70,"Win"
1762,"11/19/15","Texas A&M-Corpus Christi","Away",70,"Texas A&M",95,"Loss"
1763,"11/19/15","Houston Baptist","Away",63,"Texas Christian",90,"Loss"
1764,"11/19/15","Tennessee","Home",84,"Marshall",74,"Win"
1765,"11/19/15","Southern Methodist","Away",85,"Stanford",70,"Win"
1766,"11/19/15","Stanford","Home",70,"Southern Methodist",85,"Loss"
1767,"11/19/15","Marshall","Away",74,"Tennessee",84,"Loss"
1768,"11/19/15","Alabama-Birmingham","Away",79,"Troy",63,"Win"
1769,"11/19/15","Troy","Home",63,"Alabama-Birmingham",79,"Loss"
1770,"11/19/15","Texas Christian","Home",90,"Houston Baptist",63,"Win"
1771,"11/19/15","Clemson","Home",76,"Texas Southern",56,"Win"
1772,"11/19/15","Texas Southern","Away",56,"Clemson",76,"Loss"
1773,"11/19/15","Colorado State","Home",83,"Loyola Marymount",75,"Win"
1774,"11/19/15","Charlotte","Home",77,"Furman",68,"Win"
1775,"11/19/15","Furman","Away",68,"Charlotte",77,"Loss"
1776,"11/19/15","Loyola Marymount","Away",75,"Colorado State",83,"Loss"
1777,"11/19/15","Fresno State","Home",78,"San Francisco",71,"Win"
1778,"11/19/15","San Francisco","Away",71,"Fresno State",78,"Loss"
1779,"11/19/15","Albany (NY)","Home",88,"Colgate",67,"Win"
1780,"11/19/15","Colgate","Away",67,"Albany (NY)",88,"Loss"
1781,"11/19/15","Arizona","Home",88,"Boise State",76,"Win"
1782,"11/19/15","Southeast Missouri State","Away",56,"Alabama A&M",74,"Loss"
1783,"11/19/15","Air Force","Home",65,"Mississippi Valley State",64,"Win"
1784,"11/19/15","Mississippi Valley State","Away",64,"Air Force",65,"Loss"
1785,"11/19/15","Alabama A&M","Home",74,"Southeast Missouri State",56,"Win"
1786,"11/19/15","UC-Riverside","Home",77,"Santa Clara",63,"Win"
1787,"11/19/15","Santa Clara","Away",63,"UC-Riverside",77,"Loss"
1788,"11/19/15","Boise State","Away",76,"Arizona",88,"Loss"
1789,"11/19/15","Boston College","Home",82,"Central Connecticut State",57,"Win"
1790,"11/19/15","Central Connecticut State","Away",57,"Boston College",82,"Loss"
1791,"11/19/15","Iowa","Away",89,"Marquette",61,"Win"
1792,"11/19/15","Marquette","Home",61,"Iowa",89,"Loss"
1793,"11/19/15","Central Arkansas","Away",62,"Massachusetts",89,"Loss"
1794,"11/19/15","South Alabama","Away",66,"Louisiana State",78,"Loss"
1795,"11/19/15","Long Island University","Home",84,"Maine",79,"Win"
1796,"11/19/15","Maine","Away",79,"Long Island University",84,"Loss"
1797,"11/19/15","Louisiana State","Home",78,"South Alabama",66,"Win"
1798,"11/19/15","Mercer","Home",70,"Alabama State",49,"Win"
1799,"11/19/15","Alabama State","Away",49,"Mercer",70,"Loss"
1800,"11/19/15","Massachusetts","Home",89,"Central Arkansas",62,"Win"
1801,"11/19/15","Grambling","Away",65,"Memphis",83,"Loss"
1802,"11/19/15","Memphis","Home",83,"Grambling",65,"Win"
1803,"11/19/15","Alcorn State","Away",46,"Grand Canyon",79,"Loss"
1804,"11/19/15","Grand Canyon","Home",79,"Alcorn State",46,"Win"
1805,"11/19/15","Holy Cross","Home",69,"New Hampshire",73,"Loss"
1806,"11/19/15","Green Bay","Away",77,"Georgia Tech",107,"Loss"
1807,"11/19/15","Georgia Tech","Home",107,"Green Bay",77,"Win"
1808,"11/19/15","Indiana","Home",86,"Creighton",65,"Win"
1809,"11/19/15","Lehigh","Home",67,"Yale",79,"Loss"
1810,"11/19/15","Yale","Away",79,"Lehigh",67,"Win"
1811,"11/19/15","Creighton","Away",65,"Indiana",86,"Loss"
1812,"11/19/15","New Hampshire","Away",73,"Holy Cross",69,"Win"
1813,"11/19/15","Illinois State","Home",67,"South Dakota State",83,"Loss"
1814,"11/19/15","South Dakota State","Away",83,"Illinois State",67,"Win"
1815,"11/20/15","Oregon","Home",77,"Savannah State",59,"Win"
1816,"11/20/15","Savannah State","Away",59,"Oregon",77,"Loss"
1817,"11/20/15","Texas-Arlington","Away",73,"Ohio State",68,"Win"
1818,"11/20/15","McNeese State","Away",56,"Oklahoma",85,"Loss"
1819,"11/20/15","Oklahoma","Home",85,"McNeese State",56,"Win"
1820,"11/20/15","Detroit Mercy","Away",79,"Pittsburgh",95,"Loss"
1821,"11/20/15","Pittsburgh","Home",95,"Detroit Mercy",79,"Win"
1822,"11/20/15","Ohio State","Home",68,"Texas-Arlington",73,"Loss"
1823,"11/20/15","Montana State","Home",81,"San Jose State",69,"Win"
1824,"11/20/15","Arkansas-Pine Bluff","Away",46,"Michigan State",92,"Loss"
1825,"11/20/15","Michigan State","Home",92,"Arkansas-Pine Bluff",46,"Win"
1826,"11/20/15","Columbia","Away",80,"Northwestern",83,"Loss"
1827,"11/20/15","Northwestern","Home",83,"Columbia",80,"Win"
1828,"11/20/15","San Jose State","Away",69,"Montana State",81,"Loss"
1829,"11/20/15","Villanova","Home",86,"East Tennessee State",51,"Win"
1830,"11/20/15","East Tennessee State","Away",51,"Villanova",86,"Loss"
1831,"11/20/15","West Virginia","Home",103,"Stetson",62,"Win"
1832,"11/20/15","Jacksonville State","Away",69,"Winthrop",80,"Loss"
1833,"11/20/15","Winthrop","Home",80,"Jacksonville State",69,"Win"
1834,"11/20/15","Stetson","Away",62,"West Virginia",103,"Loss"
1835,"11/20/15","Idaho State","Away",67,"Washington State",85,"Loss"
1836,"11/20/15","Washington State","Home",85,"Idaho State",67,"Win"
1837,"11/20/15","East Carolina","Away",62,"University of California",70,"Loss"
1838,"11/20/15","Colorado","Home",85,"Portland",63,"Win"
1839,"11/20/15","Portland","Away",63,"Colorado",85,"Loss"
1840,"11/20/15","University of California","Home",70,"East Carolina",62,"Win"
1841,"11/20/15","Eastern Kentucky","Home",89,"Ball State",81,"Win"
1842,"11/20/15","Ball State","Away",81,"Eastern Kentucky",89,"Loss"
1843,"11/20/15","Auburn","Home",92,"Georgia Southern",62,"Win"
1844,"11/20/15","Georgia Southern","Away",62,"Auburn",92,"Loss"
1845,"11/20/15","Baylor","Home",77,"Jackson State",60,"Win"
1846,"11/20/15","Charleston Southern","Away",75,"Arkansas",93,"Loss"
1847,"11/20/15","Alabama","Home",105,"Louisiana-Lafayette",93,"Win"
1848,"11/20/15","Louisiana-Lafayette","Away",93,"Alabama",105,"Loss"
1849,"11/20/15","Arkansas","Home",93,"Charleston Southern",75,"Win"
1850,"11/20/15","Bryant","Home",71,"Prairie View",58,"Win"
1851,"11/20/15","Prairie View","Away",58,"Bryant",71,"Loss"
1852,"11/20/15","Jackson State","Away",60,"Baylor",77,"Loss"
1853,"11/20/15","Kentucky","Home",78,"Wright State",63,"Win"
1854,"11/20/15","Wright State","Away",63,"Kentucky",78,"Loss"
1855,"11/20/15","South Dakota","Away",72,"Kansas State",93,"Loss"
1856,"11/20/15","Florida International","Away",61,"James Madison",64,"Loss"
1857,"11/20/15","James Madison","Home",64,"Florida International",61,"Win"
1858,"11/20/15","Kansas State","Home",93,"South Dakota",72,"Win"
1859,"11/20/15","Miami (OH)","Home",70,"Lipscomb",68,"Win"
1860,"11/20/15","Michigan","Home",70,"Xavier",86,"Loss"
1861,"11/20/15","Xavier","Away",86,"Michigan",70,"Win"
1862,"11/20/15","Lipscomb","Away",68,"Miami (OH)",70,"Loss"
1863,"11/20/15","Maryland","Home",65,"Rider",58,"Win"
1864,"11/20/15","Rider","Away",58,"Maryland",65,"Loss"
1865,"11/20/15","Georgia","Home",63,"Murray State",52,"Win"
1866,"11/20/15","Murray State","Away",52,"Georgia",63,"Loss"
1867,"11/20/15","Delaware","Away",77,"Iona",92,"Loss"
1868,"11/20/15","Iona","Home",92,"Delaware",77,"Win"
1869,"11/20/15","Appalachian State","Away",61,"Hampton",82,"Loss"
1870,"11/20/15","Hampton","Home",82,"Appalachian State",61,"Win"
1871,"11/21/15","Providence","Home",94,"Brown",73,"Win"
1872,"11/21/15","Brown","Away",73,"Providence",94,"Loss"
1873,"11/21/15","Citadel","Away",79,"Presbyterian",95,"Loss"
1874,"11/21/15","Pacific","Home",82,"Nevada",85,"Loss"
1875,"11/21/15","Presbyterian","Home",95,"Citadel",79,"Win"
1876,"11/21/15","Saint Peter's","Away",72,"Princeton",75,"Loss"
1877,"11/21/15","Princeton","Home",75,"Saint Peter's",72,"Win"
1878,"11/21/15","Saint Francis (PA)","Home",68,"American",48,"Win"
1879,"11/21/15","American","Away",48,"Saint Francis (PA)",68,"Loss"
1880,"11/21/15","Saint Louis","Home",76,"St. Francis (NY)",60,"Win"
1881,"11/21/15","Rutgers","Home",87,"Central Arkansas",84,"Win"
1882,"11/21/15","Rhode Island","Home",73,"Cleveland State",45,"Win"
1883,"11/21/15","Cleveland State","Away",45,"Rhode Island",73,"Loss"
1884,"11/21/15","Bethune-Cookman","Away",64,"Richmond",89,"Loss"
1885,"11/21/15","Central Arkansas","Away",84,"Rutgers",87,"Loss"
1886,"11/21/15","Richmond","Home",89,"Bethune-Cookman",64,"Win"
1887,"11/21/15","North Carolina-Wilmington","Home",80,"Western Michigan",76,"Win"
1888,"11/21/15","Western Michigan","Away",76,"North Carolina-Wilmington",80,"Loss"
1889,"11/21/15","Lafayette","Away",66,"NJIT",80,"Loss"
1890,"11/21/15","New Mexico State","Home",85,"Mississippi Valley State",46,"Win"
1891,"11/21/15","NJIT","Home",80,"Lafayette",66,"Win"
1892,"11/21/15","Northern Kentucky","Home",56,"Morehead State",64,"Loss"
1893,"11/21/15","Morehead State","Away",64,"Northern Kentucky",56,"Win"
1894,"11/21/15","Massachusetts-Lowell","Away",57,"Notre Dame",83,"Loss"
1895,"11/21/15","Nevada","Away",85,"Pacific",82,"Win"
1896,"11/21/15","Notre Dame","Home",83,"Massachusetts-Lowell",57,"Win"
1897,"11/21/15","Northern Iowa","Home",71,"North Carolina",67,"Win"
1898,"11/21/15","Northern Colorado","Home",72,"Maryland-Baltimore County",81,"Loss"
1899,"11/21/15","Maryland-Baltimore County","Away",81,"Northern Colorado",72,"Win"
1900,"11/21/15","North Carolina","Away",67,"Northern Iowa",71,"Loss"
1901,"11/21/15","St. Francis (NY)","Away",60,"Saint Louis",76,"Loss"
1902,"11/21/15","Texas State","Away",62,"Texas-El Paso",77,"Loss"
1903,"11/21/15","Texas-El Paso","Home",77,"Texas State",62,"Win"
1904,"11/21/15","Virginia Military Institute","Away",52,"Virginia Tech",76,"Loss"
1905,"11/21/15","Texas Christian","Home",67,"South Dakota State",76,"Loss"
1906,"11/21/15","Texas A&M-Corpus Christi","Away",56,"Texas",67,"Loss"
1907,"11/21/15","Texas","Home",67,"Texas A&M-Corpus Christi",56,"Win"
1908,"11/21/15","North Carolina-Asheville","Away",47,"Texas A&M",75,"Loss"
1909,"11/21/15","South Dakota State","Away",76,"Texas Christian",67,"Win"
1910,"11/21/15","Texas A&M","Home",75,"North Carolina-Asheville",47,"Win"
1911,"11/21/15","Western Kentucky","Home",67,"Stony Brook",66,"Win"
1912,"11/21/15","Wofford","Home",73,"Maryland-Eastern Shore",63,"Win"
1913,"11/21/15","Maryland-Eastern Shore","Away",63,"Wofford",73,"Loss"
1914,"11/21/15","Stony Brook","Away",66,"Western Kentucky",67,"Loss"
1915,"11/21/15","Maine","Away",73,"Wagner",87,"Loss"
1916,"11/21/15","Virginia Tech","Home",76,"Virginia Military Institute",52,"Win"
1917,"11/21/15","Wagner","Home",87,"Maine",73,"Win"
1918,"11/21/15","Washington","Home",104,"Pennsylvania",67,"Win"
1919,"11/21/15","Pennsylvania","Away",67,"Washington",104,"Loss"
1920,"11/21/15","San Francisco","Home",58,"UC-Riverside",57,"Win"
1921,"11/21/15","UC-Riverside","Away",57,"San Francisco",58,"Loss"
1922,"11/21/15","Boston University","Away",78,"South Florida",66,"Win"
1923,"11/21/15","San Diego State","Home",43,"Arkansas-Little Rock",49,"Loss"
1924,"11/21/15","Southern Illinois","Away",86,"Sam Houston State",81,"Win"
1925,"11/21/15","Sam Houston State","Home",81,"Southern Illinois",86,"Loss"
1926,"11/21/15","Kennesaw State","Away",65,"Samford",77,"Loss"
1927,"11/21/15","Arkansas-Little Rock","Away",49,"San Diego State",43,"Win"
1928,"11/21/15","Samford","Home",77,"Kennesaw State",65,"Win"
1929,"11/21/15","Elon","Away",55,"Syracuse",66,"Loss"
1930,"11/21/15","St. Bonaventure","Home",94,"Loyola (MD)",82,"Win"
1931,"11/21/15","Syracuse","Home",66,"Elon",55,"Win"
1932,"11/21/15","Tennessee State","Home",66,"Middle Tennessee",69,"Loss"
1933,"11/21/15","Middle Tennessee","Away",69,"Tennessee State",66,"Win"
1934,"11/21/15","Loyola (MD)","Away",82,"St. Bonaventure",94,"Loss"
1935,"11/21/15","New Mexico","Away",82,"Southern California",90,"Loss"
1936,"11/21/15","South Florida","Home",66,"Boston University",78,"Loss"
1937,"11/21/15","Southern California","Home",90,"New Mexico",82,"Win"
1938,"11/21/15","Texas-San Antonio","Away",82,"Southern Utah",79,"Win"
1939,"11/21/15","Southern Utah","Home",79,"Texas-San Antonio",82,"Loss"
1940,"11/21/15","William & Mary","Away",66,"Dayton",69,"Loss"
1941,"11/21/15","Dayton","Home",69,"William & Mary",66,"Win"
1942,"11/21/15","Delaware State","Home",66,"Lamar",77,"Loss"
1943,"11/21/15","Lamar","Away",77,"Delaware State",66,"Win"
1944,"11/21/15","Davidson","Home",82,"College of Charleston",81,"Win"
1945,"11/21/15","Connecticut","Home",83,"Furman",58,"Win"
1946,"11/21/15","College of Charleston","Away",81,"Davidson",82,"Loss"
1947,"11/21/15","Furman","Away",58,"Connecticut",83,"Loss"
1948,"11/21/15","Eastern Kentucky","Home",92,"South Carolina State",82,"Win"
1949,"11/21/15","Western Illinois","Away",83,"Eastern Illinois",63,"Win"
1950,"11/21/15","South Carolina State","Away",82,"Eastern Kentucky",92,"Loss"
1951,"11/21/15","Evansville","Home",93,"Belmont",88,"Win"
1952,"11/21/15","Belmont","Away",88,"Evansville",93,"Loss"
1953,"11/21/15","Eastern Illinois","Home",63,"Western Illinois",83,"Loss"
1954,"11/21/15","Drake","Home",73,"Missouri-Kansas City",79,"Loss"
1955,"11/21/15","Missouri-Kansas City","Away",79,"Drake",73,"Win"
1956,"11/21/15","Monmouth","Away",82,"Drexel",74,"Win"
1957,"11/21/15","Drexel","Home",74,"Monmouth",82,"Loss"
1958,"11/21/15","Siena","Away",78,"Bryant",59,"Win"
1959,"11/21/15","Bryant","Home",59,"Siena",78,"Loss"
1960,"11/21/15","Cal State Fullerton","Home",67,"San Diego",55,"Win"
1961,"11/21/15","Central Florida","Home",65,"North Carolina-Greensboro",54,"Win"
1962,"11/21/15","Cornell","Away",62,"Canisius",87,"Loss"
1963,"11/21/15","North Carolina-Greensboro","Away",54,"Central Florida",65,"Loss"
1964,"11/21/15","Canisius","Home",87,"Cornell",62,"Win"
1965,"11/21/15","UC-Santa Barbara","Home",59,"Oregon State",71,"Loss"
1966,"11/21/15","San Diego","Away",55,"Cal State Fullerton",67,"Loss"
1967,"11/21/15","Oregon State","Away",71,"UC-Santa Barbara",59,"Win"
1968,"11/21/15","Morgan State","Away",59,"Campbell",54,"Win"
1969,"11/21/15","Campbell","Home",54,"Morgan State",59,"Loss"
1970,"11/21/15","Fairfield","Home",83,"Sacred Heart",79,"Win"
1971,"11/21/15","Marist","Away",72,"Kent State",79,"Loss"
1972,"11/21/15","Kent State","Home",79,"Marist",72,"Win"
1973,"11/21/15","Southern Illinois-Edwardsville","Away",67,"IPFW",87,"Loss"
1974,"11/21/15","Oral Roberts","Away",74,"James Madison",64,"Win"
1975,"11/21/15","James Madison","Home",64,"Oral Roberts",74,"Loss"
1976,"11/21/15","Miami (OH)","Home",67,"Florida Atlantic",75,"Loss"
1977,"11/21/15","Florida Atlantic","Away",75,"Miami (OH)",67,"Win"
1978,"11/21/15","Mississippi Valley State","Away",46,"New Mexico State",85,"Loss"
1979,"11/21/15","Manhattan","Home",67,"Bucknell",80,"Loss"
1980,"11/21/15","North Florida","Away",61,"Louisville",89,"Loss"
1981,"11/21/15","Louisville","Home",89,"North Florida",61,"Win"
1982,"11/21/15","Loyola (IL)","Home",69,"Toledo",62,"Win"
1983,"11/21/15","Bucknell","Away",80,"Manhattan",67,"Win"
1984,"11/21/15","Toledo","Away",62,"Loyola (IL)",69,"Loss"
